25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
253
# a b m n r  k err rhoa
11	12	17	18	-2.70206288094432e-01	-9.51996818158478e+02	3.80087612339547e-03	2.57235526512312e+02
12	13	18	19	-2.75882262076920e-01	-9.51996818158478e+02	3.72473466931769e-03	2.62639035683591e+02
13	14	19	20	-2.73310446411463e-01	-9.51996818158478e+02	3.75884294994902e-03	2.60190675353186e+02
14	15	20	21	-7.55626175856763e-01	-9.06307466119545e+01	1.42340571561878e-03	6.84829644774344e+01
15	16	21	22	-7.61575204197312e-01	-9.06307466119545e+01	1.41306796031258e-03	6.90221293575540e+01
16	17	22	23	-2.70220832961367e-01	-9.51996818158478e+02	3.80067692057987e-03	2.57249373179355e+02
17	18	23	24	-2.70503112650735e-01	-9.51996818158478e+02	3.79681513162907e-03	2.57518102545464e+02
18	19	24	25	-2.71341797531012e-01	-9.51996818158478e+02	3.78538872042266e-03	2.58316527882925e+02
1	2	8	9	-3.44603284371869e-01	-2.43709338715399e+02	3.00188760627388e-03	8.39830385534228e+01
2	3	9	10	-3.45716875429960e-01	-2.43709338715399e+02	2.99254031570291e-03	8.42544310937895e+01
3	4	10	11	-5.13762302524854e-01	-9.34729417791302e+01	2.04642540934895e-03	4.80228737922175e+01
4	5	11	12	-2.73046721645796e-02	-1.39875055925275e+03	3.67237687811256e-02	3.81924254604187e+01
5	6	12	13	-5.13392935579890e-01	-9.34729417791302e+01	2.04782578936439e-03	4.79883479772758e+01
6	7	13	14	-3.46184925741848e-01	-2.43709338715399e+02	2.98862953191008e-03	8.43684993257853e+01
7	8	14	15	-3.46071588954364e-01	-2.43709338715399e+02	2.98957554424344e-03	8.43408780922554e+01
8	9	15	16	-5.13689803783764e-01	-9.34729417791302e+01	2.04670011480498e-03	4.80160971216126e+01
9	10	16	17	-2.73720331397915e-02	-1.39875055925275e+03	3.66336398247404e-02	3.82866466621682e+01
10	11	17	18	-5.14304993624002e-01	-9.34729417791302e+01	2.04437155461703e-03	4.80736007257322e+01
11	12	18	19	-3.45067622910635e-01	-2.43709338715399e+02	2.99798269558016e-03	8.40962021916455e+01
12	13	19	20	-3.45082849573282e-01	-2.43709338715399e+02	2.99785482308543e-03	8.40999130715300e+01
13	14	20	21	-5.14539676476558e-01	-9.34729417791302e+01	2.04348472181534e-03	4.80955372223458e+01
14	15	21	22	-2.74257161600437e-02	-1.39875055925275e+03	3.65621289801319e-02	3.83617358167683e+01
