25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
225
# a b m n r k err rhoa 
5	6	11	12	-8.10727303904794e-02	-9.06307466119545e+01	2.23346036969964e-02	7.34768208515884e+00
9	10	15	16	-8.31070829472043e-02	-9.06307466119545e+01	2.20326687514140e-02	7.53205697624676e+00
10	11	16	17	-8.05208663034269e-02	-9.06307466119545e+01	2.24191410985532e-02	7.29766623092095e+00
14	15	20	21	-8.32383212913974e-02	-9.06307466119545e+01	2.20136973509982e-02	7.54395120536509e+00
15	16	21	22	-8.08735529449362e-02	-9.06307466119545e+01	2.23649816730676e-02	7.32963048456100e+00
1	2	8	9	-2.08347008403200e-02	-2.43709338715399e+02	5.79968494707045e-02	5.07761116412755e+00
2	3	9	10	-2.01549768827941e-02	-2.43709338715399e+02	5.96155369373646e-02	4.91195608792990e+00
3	4	10	11	-8.96723184360879e-02	-9.34729417791302e+01	2.11517134545008e-02	8.38193540037606e+00
4	5	11	12	-3.47739513802221e-03	-1.39875055925275e+03	2.97571575937947e-01	4.86400839405136e+00
5	6	12	13	-8.89477899133576e-02	-9.34729417791302e+01	2.12425502755502e-02	8.31421158795357e+00
6	7	13	14	-2.03694636799196e-02	-2.43709338715399e+02	5.90930942372238e-02	4.96422852342054e+00
7	8	14	15	-1.98246177243213e-02	-2.43709338715399e+02	6.04423345713838e-02	4.83144447587992e+00
8	9	15	16	-8.87418721654330e-02	-9.34729417791302e+01	2.12686376295487e-02	8.29496385029053e+00
9	10	16	17	-3.45886819880449e-03	-1.39875055925275e+03	2.99111912487916e-01	4.83809382745933e+00
10	11	17	18	-8.81686907976194e-02	-9.34729417791302e+01	2.13418946221554e-02	8.24138690166801e+00
11	12	18	19	-2.10154558044185e-02	-2.43709338715399e+02	5.75840262189198e-02	5.12166283689752e+00
12	13	19	20	-2.01837168703193e-02	-2.43709338715399e+02	5.95448884080675e-02	4.91896029128436e+00
13	14	20	21	-9.05240891065392e-02	-9.34729417791302e+01	2.10467833465088e-02	8.46155291066433e+00
14	15	21	22	-3.87259847297171e-03	-1.39875055925275e+03	2.68224550512884e-01	5.41679927983052e+00
15	16	22	23	-9.04285646752875e-02	-9.34729417791302e+01	2.10584526426005e-02	8.45262396106345e+00
