25
# x y z 
-40	-40	0
-20	-40	0
0	-40	0
20	-40	0
40	-40	0
-40	-20	0
-20	-20	0
0	-20	0
20	-20	0
40	-20	0
-40	0	0
-20	0	0
0	0	0
20	0	0
40	0	0
-40	20	0
-20	20	0
0	20	0
20	20	0
40	20	0
-40	40	0
-20	40	0
0	40	0
20	40	0
40	40	0
251
# a b m n r k err rhoa 
6	7	10	11	-3.04121720572571e-01	-3.34010732168004e+02	1.32881571172138e-02	1.01579918556638e+02
7	8	11	12	-2.23780310598183e-02	-3.80798727263391e+03	5.46866838877343e-02	8.52152574623945e+01
8	9	12	13	-2.28431870785016e-02	-3.80798727263391e+03	5.37767285520824e-02	8.69865656613295e+01
9	10	13	14	-2.45072147134283e-02	-3.80798727263391e+03	5.08043105548044e-02	9.33231617164415e+01
10	11	14	15	-3.06904534139375e-01	-3.34010732168004e+02	1.32583422164296e-02	1.02509408153573e+02
11	12	15	16	-3.05348206146774e-01	-3.34010732168004e+02	1.32749496472212e-02	1.01989577901271e+02
12	13	16	17	-2.33181725494994e-02	-3.80798727263391e+03	5.28850072996594e-02	8.87953042895752e+01
13	14	17	18	-2.54426764827850e-02	-3.80798727263391e+03	4.93040410145772e-02	9.68853882281874e+01
14	15	18	19	-2.42569535078188e-02	-3.80798727263391e+03	5.12252923549393e-02	9.23701702306465e+01
15	16	19	20	-3.05874987369463e-01	-3.34010732168004e+02	1.32693094933981e-02	1.02165528483153e+02
16	17	20	21	-3.07419345704879e-01	-3.34010732168004e+02	1.32528857209917e-02	1.02681360741495e+02
17	18	21	22	-2.40864231510148e-02	-3.80798727263391e+03	5.15171648247767e-02	9.17207928023392e+01
18	19	22	23	-2.52543228550080e-02	-3.80798727263391e+03	4.95971812723419e-02	9.61681400108582e+01
19	20	23	24	-2.41718923324266e-02	-3.80798727263391e+03	5.13703646469788e-02	9.20462583573577e+01
20	21	24	25	-3.08365115856351e-01	-3.34010732168004e+02	1.32429089692034e-02	1.02997258122251e+02
1	2	6	7	4.68811222416493e-01	2.14521364906759e+02	1.21330547396999e-02	1.00570023316392e+02
2	3	7	8	4.66585366575691e-01	2.14521364906759e+02	1.21432305246499e-02	1.00092529683338e+02
3	4	8	9	4.66004526103863e-01	2.14521364906759e+02	1.21459019043457e-02	9.99679269925281e+01
4	5	9	10	4.65231650712419e-01	2.14521364906759e+02	1.21494668268349e-02	9.98021287086527e+01
5	6	10	11	1.24279391048113e+00	8.23272181495264e+01	1.08046386384472e-02	1.02315765383083e+02
6	7	11	12	4.66913851586517e-01	2.14521364906759e+02	1.21417227109500e-02	1.00162996736212e+02
7	8	12	13	4.65496013048737e-01	2.14521364906759e+02	1.21482461116059e-02	9.98588400778696e+01
8	9	13	14	4.66778082585356e-01	2.14521364906759e+02	1.21423456612643e-02	1.00133871384770e+02
9	10	14	15	4.70832774462557e-01	2.14521364906759e+02	1.21238963263368e-02	1.01003689420544e+02
10	11	15	16	1.24221513182223e+00	8.23272181495264e+01	1.08050135394286e-02	1.02268116146171e+02
11	12	16	17	4.68390214962572e-01	2.14521364906759e+02	1.21349720127691e-02	1.00479708222741e+02
12	13	17	18	4.68025581293368e-01	2.14521364906759e+02	1.21366353463769e-02	1.00401486510333e+02
13	14	18	19	4.67668298211103e-01	2.14521364906759e+02	1.21382676649778e-02	1.00324841655867e+02
14	15	19	20	4.67763657559322e-01	2.14521364906759e+02	1.21378317529364e-02	1.00345298273404e+02
15	16	20	21	1.24356512849244e+00	8.23272181495264e+01	1.08041396281450e-02	1.02379257616541e+02
16	17	21	22	4.69498837109165e-01	2.14521364906759e+02	1.21299307281724e-02	1.00717531358794e+02
